date,state,house_median_value
1/1/2013,Oklahoma,116500
1/1/2013,Oregon,229700
1/1/2013,Pennsylvania,164200
1/1/2013,Rhode Island,232300
1/1/2013,South Carolina,139200
1/1/2013,South Dakota,138400
1/1/2013,Tennessee,140300
1/1/2013,Texas,132000
1/1/2013,Utah,211400
1/1/2013,Vermont,218300
1/1/2013,Virginia,239300
1/1/2013,Washington,250800
1/1/2013,West Virginia,103200
1/1/2013,Wisconsin,163000
1/1/2013,Wyoming,195500
1/1/2013,Puerto Rico,119900
1/1/2013,United States,173900
1/1/2014,Alabama,125600
1/1/2014,Alaska,254500
1/1/2014,Arizona,176700
1/1/2014,Arkansas,112500
1/1/2014,California,412700
1/1/2014,Colorado,255200
1/1/2014,Connecticut,267200
1/1/2014,Delaware,230500
1/1/2014,District of Columbia,486900
1/1/2014,Florida,162700
1/1/2014,Georgia,147900
1/1/2014,Hawaii,528000
1/1/2014,Idaho,165300
1/1/2014,Illinois,171900
1/1/2014,Indiana,124300
1/1/2014,Iowa,133100
1/1/2014,Kansas,132100
1/1/2014,Kentucky,123800
1/1/2014,Louisiana,143600
1/1/2014,Maine,174800
1/1/2014,Maryland,288500
1/1/2014,Massachusetts,338900
1/1/2014,Michigan,125700
1/1/2014,Minnesota,188300
1/1/2014,Mississippi,104000
1/1/2014,Missouri,138500
1/1/2014,Montana,196800
1/1/2014,Nebraska,133800
1/1/2014,Nevada,192100
1/1/2014,New Hampshire,236400
1/1/2014,New Jersey,313200
1/1/2014,New Mexico,158400
1/1/2014,New York,279100
1/1/2014,North Carolina,155000
1/1/2014,North Dakota,161800
1/1/2014,Ohio,129100
1/1/2014,Oklahoma,119800
1/1/2014,Oregon,239800
1/1/2014,Pennsylvania,165400
1/1/2014,Rhode Island,236000
1/1/2014,South Carolina,140000
1/1/2014,South Dakota,142300
1/1/2014,Tennessee,142900
1/1/2014,Texas,139600
1/1/2014,Utah,223200
1/1/2014,Vermont,214600
1/1/2014,Virginia,247800
1/1/2014,Washington,266200
1/1/2014,West Virginia,103900
1/1/2014,Wisconsin,164700
1/1/2014,Wyoming,201000
1/1/2014,Puerto Rico,120800
1/1/2014,United States,181200
1/1/2015,Alabama,134100
1/1/2015,Alaska,259600
1/1/2015,Arizona,194300
1/1/2015,Arkansas,120700
1/1/2015,California,449100
1/1/2015,Colorado,283800
1/1/2015,Connecticut,270900
1/1/2015,Delaware,240200
1/1/2015,District of Columbia,551300
1/1/2015,Florida,179800
1/1/2015,Georgia,159300
1/1/2015,Hawaii,566900
1/1/2015,Idaho,176300
1/1/2015,Illinois,180300
1/1/2015,Indiana,131000
1/1/2015,Iowa,136100
1/1/2015,Kansas,141200
1/1/2015,Kentucky,130000
1/1/2015,Louisiana,155600
1/1/2015,Maine,180300
1/1/2015,Maryland,299800
1/1/2015,Massachusetts,352100
1/1/2015,Michigan,137500
1/1/2015,Minnesota,200000
1/1/2015,Mississippi,112700
1/1/2015,Missouri,147800
1/1/2015,Montana,209500
1/1/2015,Nebraska,141600
1/1/2015,Nevada,221400
1/1/2015,New Hampshire,244500
1/1/2015,New Jersey,322600
1/1/2015,New Mexico,164100
1/1/2015,New York,293500
1/1/2015,North Carolina,160100
1/1/2015,North Dakota,180900
1/1/2015,Ohio,136400
1/1/2015,Oklahoma,126800
